19CSV2 	
// AQ6319 OPTICAL SPECTRUM ANALYZER //                  
20
"CTRWL",1537.500000
"SPAN", 125.000000
"START WL",1475.000000
"STOP WL",1600.000000
"WLFREQ", 0
"REFL", -20.000
"LSCL",-10.0
"BASEL",0.00000000000
"RESLN",0.200
"AVG",   1
"SMPLAUTO",      1
"SMPL",       6301
"SMPLINTVL",0.0198
"MID"
"MEAS"
"LSUNT",0
"NMSKH","OFF"
"OPTATT",1


"[TRACE DATA]"
1475.0000,1.062E-006
1475.0198,7.646E-007
1475.0397,9.870E-007
1475.0595,8.117E-007
1475.0794,6.176E-007
1475.0992,8.967E-007
1475.1190,1.029E-006
1475.1389,1.194E-006
1475.1587,9.041E-007
1475.1786,1.361E-006
1475.1984,1.306E-006
1475.2183,9.993E-007
1475.2381,1.090E-006
1475.2579,5.245E-007
1475.2778,8.208E-007
1475.2976,9.936E-007
1475.3175,1.284E-006
1475.3373,1.105E-006
1475.3571,1.346E-006
1475.3770,5.591E-007
1475.3968,8.085E-007
1475.4167,1.280E-006
1475.4365,1.242E-006
1475.4563,1.710E-006
1475.4762,1.467E-006
1475.4960,1.182E-006
1475.5159,1.965E-006
1475.5357,1.449E-006
1475.5556,1.452E-006
1475.5754,9.906E-007
1475.5952,1.050E-006
1475.6151,1.083E-006
1475.6349,1.654E-006
1475.6548,1.264E-006
1475.6746,1.283E-006
1475.6944,1.280E-006
1475.7143,1.074E-006
1475.7341,1.419E-006
1475.7540,1.524E-006
1475.7738,1.976E-006
1475.7937,1.629E-006
1475.8135,1.804E-006
1475.8333,1.147E-006
1475.8532,1.579E-006
1475.8730,1.387E-006
1475.8929,1.186E-006
1475.9127,1.447E-006
1475.9325,1.586E-006
1475.9524,1.428E-006
1475.9722,1.644E-006
1475.9921,1.559E-006
1476.0119,1.806E-006
1476.0317,1.493E-006
1476.0516,2.002E-006
1476.0714,1.673E-006
1476.0913,1.247E-006
1476.1111,2.100E-006
1476.1310,1.706E-006
1476.1508,1.910E-006
1476.1706,1.662E-006
1476.1905,1.882E-006
1476.2103,1.765E-006
1476.2302,1.915E-006
1476.2500,1.480E-006
1476.2698,1.616E-006
1476.2897,1.395E-006
1476.3095,2.172E-006
1476.3294,2.064E-006
1476.3492,1.278E-006
1476.3690,2.766E-006
1476.3889,2.185E-006
1476.4087,1.872E-006
1476.4286,2.143E-006
1476.4484,1.798E-006
1476.4683,2.207E-006
1476.4881,2.061E-006
1476.5079,1.967E-006
1476.5278,1.850E-006
1476.5476,2.000E-006
1476.5675,2.338E-006
1476.5873,1.878E-006
1476.6071,1.576E-006
1476.6270,1.763E-006
1476.6468,2.026E-006
1476.6667,1.719E-006
1476.6865,2.039E-006
1476.7063,2.135E-006
1476.7262,2.407E-006
1476.7460,1.741E-006
1476.7659,1.959E-006
1476.7857,1.902E-006
1476.8056,2.104E-006
1476.8254,1.534E-006
1476.8452,1.860E-006
1476.8651,2.036E-006
1476.8849,2.019E-006
1476.9048,2.114E-006
1476.9246,1.753E-006
1476.9444,1.857E-006
1476.9643,1.750E-006
1476.9841,1.589E-006
1477.0040,1.710E-006
1477.0238,1.878E-006
1477.0437,1.602E-006
1477.0635,1.580E-006
1477.0833,1.379E-006
1477.1032,1.826E-006
1477.1230,1.672E-006
1477.1429,1.764E-006
1477.1627,1.340E-006
1477.1825,1.806E-006
1477.2024,1.722E-006
1477.2222,2.009E-006
1477.2421,1.170E-006
1477.2619,1.995E-006
1477.2817,1.969E-006
1477.3016,2.054E-006
1477.3214,2.097E-006
1477.3413,1.303E-006
1477.3611,1.734E-006
1477.3810,1.712E-006
1477.4008,1.428E-006
1477.4206,1.161E-006
1477.4405,1.470E-006
1477.4603,1.827E-006
1477.4802,1.933E-006
1477.5000,1.374E-006
1477.5198,1.443E-006
1477.5397,1.756E-006
1477.5595,1.521E-006
1477.5794,1.462E-006
1477.5992,1.388E-006
1477.6190,1.554E-006
1477.6389,1.031E-006
1477.6587,1.202E-006
1477.6786,1.055E-006
1477.6984,1.111E-006
1477.7183,1.553E-006
1477.7381,1.216E-006
1477.7579,1.319E-006
1477.7778,8.926E-007
1477.7976,1.155E-006
1477.8175,1.631E-006
1477.8373,1.492E-006
1477.8571,1.350E-006
1477.8770,1.526E-006
1477.8968,1.149E-006
1477.9167,1.177E-006
1477.9365,1.251E-006
1477.9563,1.186E-006
1477.9762,1.519E-006
1477.9960,1.295E-006
1478.0159,1.665E-006
1478.0357,1.174E-006
1478.0556,1.214E-006
1478.0754,1.620E-006
